,geo,indicator_name,indicator,country,income,region,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
84,jam,population,pop,Jamaica,Upper middle income,americas,401000,401000,401000,401000,401000,401000,401000,401000,401000,401000,401000,400997,400990,400981,400968,400952,400933,400911,400885,400857,400825,400790,400752,400711,400666,400618,400568,400514,400456,400396,400332,400266,400199,400132,400066,399999,399932,399866,399799,399732,399666,399816,400185,400777,401592,402634,403905,405407,407144,409118,411331,413779,416471,419411,422602,426045,429744,433701,437920,442403,447153,452198,457325,462536,467830,473211,478678,484234,489879,495616,501444,507366,513383,519132,525347,531664,538085,544317,550970,557735,564583,571288,578303,585404,592385,599659,607022,614292,621835,629470,637200,645024,652944,660961,669077,677292,685531,693875,702226,710664,719181,727768,736315,745004,753732,762488,771355,780221,789198,798375,807552,816794,826436,833747,838727,841376,843691,846340,848676,851339,854669,863658,875644,888962,899283,912268,927584,946229,964540,985516,1009821,1035125,1059430,1079073,1096387,1112368,1127017,1143665,1163974,1187280,1209588,1230563,1242882,1252538,1256533,1272847,1295487,1323455,1348759,1374028,1402899,1436944,1468018,1495670,1519786,1540623,1558819,1575359,1591514,1608723,1628252,1650806,1676250,1703395,1730486,1756266,1780264,1803064,1825633,1849414,1875381,1904016,1934828,1966700,1998034,2027737,2055085,2080538,2105664,2132690,2163045,2197583,2235327,2273666,2308947,2338638,2361720,2379279,2393534,2407720,2424242,2443689,2465362,2488782,2513049,2537440,2561993,2586827,2611367,2634882,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299,2898677,2906339,2913160
85,jpn,population,pop,Japan,High income,asia,30294378,30329275,30364211,30399188,30434206,30469263,30504361,30539500,30574679,30609898,30645903,30681067,30716134,30751104,30785976,30820751,30855427,30890005,30924485,30958865,30993147,31027329,31061412,31095395,31129277,31163059,31196741,31230322,31263801,31297179,31330455,31363629,31396839,31430083,31463363,31496678,31530028,31563414,31596835,31630291,31663783,31701299,31742858,31788480,31838183,31891986,31949909,32011971,32078191,32148589,32223184,32302860,32386776,32474953,32567412,32664173,32765255,32870679,32980467,33094638,33213212,33340232,33471705,33607611,33745739,33887782,34037342,34195731,34362549,34535154,34713907,34901408,35097493,35264292,35480054,35708897,35946425,36159174,36413926,36675630,36947591,37209259,37507373,37818047,38114592,38428594,38747386,39067036,39394501,39721710,40053760,40397840,40764874,41155409,41554702,41957657,42376107,42820976,43291538,43782152,44282076,44779569,45292393,45799428,46316282,46847851,47389464,47847957,48387866,48987699,49640048,50306521,51027052,51756637,52486928,53203902,53886854,54476676,54956379,55417532,55953151,56606312,57313904,58047208,58819581,59672097,60588393,61536411,62456047,63382026,64331715,65315130,66309899,67273278,68291422,69289530,70354089,71235991,71968293,72532295,73242224,74132140,75146610,76206161,76605204,77003913,77318138,78630805,80224305,81586884,82802084,84315601,85658683,86869425,87980318,89018257,90004313,90953954,91877704,92782224,93673615,94560845,95458881,96389953,97379848,98447002,99595128,100820021,102120482,103491930,104925645,106425269,107977039,109532878,111030141,112423055,113690108,114839120,115890284,116878026,117827355,118743180,119615624,120438087,121199799,121894038,122519652,123083205,123594968,124068903,124515561,124940015,125341476,125717524,126063174,126375466,126654021,126902628,127127265,127335858,127533934,127723513,127902617,128067794,128213632,128335767,128432994,128505251,128550508,128566659,128551873,128505399,128426384,128312920,128162873,127974958,127748513,127484450,127185332,126854745,126495647
86,jor,population,pop,Jordan,Lower middle income,asia,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217042,217127,217254,217423,217636,217891,218190,218532,218918,219348,219821,220338,220900,221506,222157,222853,223593,224379,225211,226087,227010,227936,228866,229800,230738,231679,232624,233574,234527,235484,236444,237409,238378,239350,240327,241308,242292,243281,244274,245270,246391,247518,248649,249785,250927,252073,253225,254382,255544,256712,257913,259147,260415,261717,263054,264425,265832,267275,268754,270269,271821,273410,274873,276546,278261,280018,281726,283594,285510,287438,289349,291303,293270,295223,297217,299223,301220,303254,305301,307362,309437,311526,313629,315746,317877,320023,322183,324357,326546,328750,330969,333180,335429,337692,339971,342265,344543,346867,349207,351563,353926,356313,358793,361365,364032,366718,369424,371915,374483,377067,379670,382291,384929,387586,390262,392955,395668,398399,401149,403917,406705,409513,412339,415185,418051,420937,423842,426768,429713,432679,435666,438673,441701,444750,447820,450911,454023,457157,460312,481321,536446,576367,610079,644196,682952,728040,778771,832428,884864,932257,973083,1009733,1049302,1101459,1172550,1265806,1377465,1498309,1615277,1718913,1806605,1881214,1945626,2004833,2062918,2120069,2176135,2234594,2299655,2374422,2461193,2559718,2667470,2780428,2895985,3011300,3127917,3252672,3395023,3560582,3753433,3968198,4189431,4395953,4572904,4716373,4832267,4927912,5014899,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353,9903802,10069794,10208662
87,kaz,population,pop,Kazakhstan,Upper middle income,asia,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2042175,2043970,2046674,2050295,2054844,2060327,2066754,2074133,2082472,2091782,2102070,2113346,2125618,2138896,2153190,2168508,2184859,2202254,2220702,2240213,2260796,2281568,2302531,2323686,2345036,2366582,2388326,2410270,2432415,2454764,2477318,2500080,2523050,2546232,2569626,2593236,2617062,2641108,2665374,2689863,2714442,2739245,2764275,2789534,2815023,2840746,2866703,2892898,2919332,2946007,2972926,3000091,3027505,3055169,3083085,3111257,3139686,3168375,3197326,3226542,3256024,3285776,3314876,3345165,3375732,3406577,3436843,3468247,3499938,3531918,3563397,3595957,3628815,3661259,3694713,3728473,3761913,3796287,3830976,3865981,3901306,3936954,3972928,4009230,4045864,4082833,4120140,4157787,4195778,4234117,4272806,4311247,4350641,4390395,4430511,4470995,4510968,4552186,4593781,4635756,4677854,4720598,4763732,4807260,4851185,4895513,4940245,4985719,5031527,5077756,5124410,5171493,5219008,5266960,5315353,5364190,5413475,5463214,5513410,5564066,5615189,5666781,5718847,5771391,5824418,5877932,5931938,5986441,6041443,6096952,6152970,6209503,6266556,6324132,6382238,6440877,6500056,6559778,6620049,6702991,6831323,7041797,7315651,7636830,7991998,8370630,8764919,9169454,9580799,9996000,10411028,10819457,11211860,11577469,11909003,12201038,12455711,12682931,12897413,13109996,13324670,13538749,13748319,13946819,14130071,14296769,14450533,14597846,14747561,14905889,15072355,15244045,15421226,15603720,15789437,15980988,16173101,16346206,16474563,16540258,16540017,16481113,16370000,16217491,16034956,15820631,15581752,15349899,15165574,15057363,15039971,15105645,15232325,15385916,15541457,15690861,15841355,16001176,16184163,16398976,16647380,16921179,17207257,17487779,17749648,17987736,18204499,18403860,18592970,18777139
88,ken,population,pop,Kenya,Lower middle income,africa,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2575105,2576211,2577316,2578421,2579526,2580632,2581737,2582842,2583947,2585053,2586158,2587263,2588368,2589474,2590579,2591684,2592789,2593895,2595000,2596105,2597210,2598316,2599421,2600526,2601631,2602737,2603842,2604947,2606052,2607158,2608263,2609368,2610473,2611579,2612684,2613789,2614894,2616000,2617105,2618210,2619315,2620421,2621526,2622631,2623736,2624842,2625947,2627052,2628157,2629263,2630368,2631473,2632578,2633684,2634789,2635894,2636999,2638105,2639210,2640315,2641420,2642526,2643631,2644736,2645841,2646947,2648052,2647684,2647684,2647684,2662521,2692447,2737713,2783740,2830541,2878129,2926517,2975718,3025747,3076617,3144677,3230747,3335677,3444015,3555873,3671363,3790604,3913717,4040830,4172070,4307574,4447478,4591926,4741066,4895049,5054034,5218183,5387662,5732430,6076758,6240163,6412363,6593109,6782287,6979931,7186211,7401421,7625995,7860475,8105440,8361441,8628972,8908422,9200157,9504703,9822499,10154484,10502245,10867716,11252492,11657514,12083188,12529852,12997595,13486629,13996704,14528293,15082994,15662852,16268990,16901677,17559430,18239404,18937738,19651225,20378626,21119318,21871442,22633022,23402507,24179598,24963953,25754114,26548486,27346456,28147734,28954114,29769803,30600397,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862,50950879,52214791,53491697
89,kir,population,pop,Kiribati,Lower middle income,asia,17876,17876,17876,17876,17876,17876,17876,17876,17876,17876,17876,17878,17883,17891,17901,17913,17928,17946,17966,17989,18014,18041,18072,18105,18140,18178,18219,18262,18307,18356,18407,18461,18514,18568,18623,18677,18731,18786,18841,18896,18951,19006,19061,19117,19173,19229,19285,19341,19397,19454,19511,19643,19777,19911,20046,20181,20317,20453,20591,20728,20867,21006,21146,21286,21427,21569,21711,21854,21997,22142,22286,22432,22578,22724,22872,23020,23169,23318,23468,23619,23770,23922,24075,24228,24382,24537,24693,24849,25006,25164,25322,25481,25641,25802,25963,26125,26288,26451,26616,26781,26946,27113,27280,27448,27616,27786,27956,28126,28298,28470,28644,28817,28992,29168,29344,29521,29699,29878,29934,30021,30109,30197,30285,30373,30461,30550,30639,30729,30818,30908,30998,31089,31179,31270,31361,31453,31544,31636,31729,31821,31914,32007,32100,32194,32288,32382,32476,32571,32666,32761,33048,33623,34286,35007,35777,36596,37455,38346,39268,40240,41233,42257,43302,44363,45425,46453,47459,48437,49388,50294,51178,52025,52824,53604,54380,55169,55977,56810,57662,58506,59339,60133,60920,61768,62765,64003,65518,67261,69098,70860,72412,73700,74769,75719,76671,77730,78907,80184,81550,82966,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398,118414,120428,122439
90,prk,population,pop,North Korea,Low income,asia,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345155,4345466,4345932,4346553,4347330,4348263,4349352,4350597,4351998,4353556,4355269,4357140,4359166,4361350,4363690,4366188,4368842,4371654,4374623,4377749,4381033,4384319,4387608,4390900,4394193,4397490,4400788,4404090,4407393,4410700,4414008,4417319,4420633,4423949,4427268,4430589,4433912,4437238,4440567,4443898,4453693,4463500,4473319,4483150,4492994,4502850,4512718,4522598,4532491,4542396,4552566,4563004,4573712,4584690,4595942,4607467,4619270,4631350,4643711,4656354,4669280,4682492,4694714,4708593,4722790,4737307,4751559,4766975,4782754,4798575,4814393,4830300,4846250,4862203,4878240,4894321,4910409,4926577,4942789,4959045,4975345,4991689,5008077,5024510,5040987,5057509,5074076,5090687,5107344,5124045,5140792,5157553,5174390,5191273,5208202,5225176,5242151,5259217,5276329,5293488,5310679,5327930,5375228,5453314,5562943,5674767,5788827,5894760,6005281,6117874,6232579,6349434,6468480,6589757,6713309,6839177,6967406,7098038,7231119,7366696,7504815,7645523,7788869,7934903,8083675,8235236,8389639,8546937,8707184,8870436,9036748,9206178,9378786,9554629,9733769,9916268,10102189,10291595,10484553,10549472,10248496,10049029,9957242,9972436,10086991,10285940,10547389,10843979,11145152,11424176,11665595,11871712,12065468,12282419,12547525,12864954,13222694,13609982,14010339,14410400,14809521,15207771,15593351,15952078,16274740,16554746,16796578,17015983,17235666,17472140,17731230,18008564,18298214,18590138,18877238,19156795,19431986,19708323,19993755,20293054,20609150,20937404,21265834,21577982,21862299,22113548,22335638,22537336,22731985,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965,25610672,25727408,25840863
91,kor,population,pop,South Korea,High income,asia,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395236,9395709,9396418,9397364,9398547,9399966,9401623,9403516,9405647,9408016,9410622,9413465,9416547,9419866,9423423,9427219,9431252,9435525,9440035,9444785,9449773,9454763,9459757,9464753,9469751,9474753,9479757,9484763,9489772,9494784,9500049,9505567,9511338,9517364,9523643,9530178,9536968,9544013,9551315,9558873,9566882,9575149,9583674,9592457,9601499,9610801,9620362,9630183,9640265,9650608,9660937,9671000,9680799,9690333,9699600,9708602,9717336,9725803,9734003,9741935,9749598,9756992,9765420,9772176,9778631,9784787,9791208,9796495,9801443,9806394,9811342,9816298,9821256,9826212,9831177,9836145,9841109,9846085,9851064,9856047,9861034,9866025,9871019,9876018,9881021,9887393,9895136,9904255,9914753,9926632,9939897,9951316,9968114,9986613,10006818,10027064,10047258,10067585,10116344,10193928,10271398,10436148,10605243,10768670,10934775,11101554,11279354,11459856,11640434,11839704,12057999,12298992,12544992,12786653,13004615,13197877,13374783,13554026,13735605,13929868,14137483,14358449,14582752,14810394,15002988,15160201,15280698,15402530,15525029,15684578,15881512,16116830,16355487,16618323,17258363,17980219,18643801,18907661,19066125,19211385,19459429,19829390,20307897,20880428,21531331,22243633,22999243,23779372,24565349,25340918,26094750,26822585,27528214,28220780,28907071,29584631,30249456,30905365,31557578,32209314,32863704,33518385,34164544,34789935,35386507,35948932,36481585,36997800,37516487,38050424,38606821,39179545,39752024,40300401,40808569,41269319,41690833,42091026,42495728,42923131,43378101,43853448,44340558,44825885,45298611,45757361,46202604,46627442,47023880,47386312,47712788,48004786,48265026,48498083,48708497,48895845,49062429,49218985,49379208,49552855,49744659,49952244,50169242,50385560,50593662,50791919,50982212,51164435,51339238,51506975
92,kwt,population,pop,Kuwait,High income,asia,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81260,81240,81220,81200,81180,81160,81140,81120,81100,81081,81082,81105,81150,81217,81306,81416,81549,81704,81882,82082,82304,82550,82709,83007,83331,83680,84002,84423,84873,85325,85772,86229,86688,87144,87608,88074,88538,89009,89483,89960,90439,90920,91404,91891,92380,92872,93367,93864,94364,94866,95371,95874,96384,96897,97413,97932,98446,98970,99497,100027,100557,101093,101800,102681,103739,104808,105889,107016,108145,109287,110441,111607,112786,113976,115180,116396,117625,118867,120122,121390,122672,123967,125276,126599,127935,129286,130651,132031,133425,134833,136257,137696,139149,140619,142103,143604,145120,146652,148200,153096,157932,162696,167896,174091,181888,191975,205065,221911,243235,269618,301336,338296,379891,425235,473554,524856,579007,634897,691129,746767,801142,854604,908520,964834,1024940,1089209,1157033,1227601,1299683,1372318,1442991,1511314,1580638,1655833,1738994,1836105,1942810,2038885,2096932,2099615,2035661,1916877,1777137,1663932,1610651,1631740,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,4197128,4248974,4302875
93,kgz,population,pop,Kyrgyz Republic,Lower middle income,asia,530343,530343,530343,530343,530343,530343,530343,530343,530343,530343,530343,530575,531041,531743,532683,533864,535287,536956,538872,541037,543453,546124,549052,552238,555685,559396,563372,567617,572133,576922,581987,587331,592723,598165,603657,609199,614792,620437,626133,631882,637683,643538,649447,655409,661427,667500,673628,679813,686054,692353,698710,705110,711569,718087,724664,731302,738001,744761,751582,758467,765414,772425,779501,786641,793846,801118,808456,815861,823334,830876,838487,846167,853918,861500,869391,877355,885391,893277,901460,909717,918050,926253,934737,943299,951754,960472,969270,977985,986943,995983,1005106,1014313,1023604,1032980,1042442,1051991,1061627,1071351,1081164,1091068,1101062,1111147,1121169,1131439,1141803,1152261,1162816,1173238,1183985,1194830,1205775,1216752,1227897,1239144,1250495,1261949,1273508,1285173,1296982,1308890,1320907,1333035,1345274,1357625,1370090,1382669,1395363,1408175,1421103,1434151,1447318,1460606,1474016,1487550,1501207,1514990,1528900,1542937,1557103,1571399,1585827,1600387,1615080,1629909,1644873,1659975,1675216,1690596,1706118,1721782,1740004,1765555,1795130,1828195,1864495,1904060,1947219,1994561,2046915,2105181,2170093,2241753,2319455,2401463,2485430,2569458,2653050,2736076,2817335,2895544,2969864,3039767,3105535,3168293,3229688,3291077,3352618,3414320,3477229,3542522,3610981,3682672,3757184,3834168,3913058,3993106,4075187,4158607,4239295,4311868,4372890,4419631,4454189,4483840,4518801,4566087,4629398,4705638,4786773,4861129,4920718,4962590,4990687,5012269,5037929,5075380,5126730,5189720,5262294,5340781,5422337,5506601,5594108,5683808,5774566,5865401,5955734,6045117,6132932,6218616,6301718
94,lao,population,pop,Lao,Lower middle income,asia,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470213,470642,471287,472152,473239,474548,476084,477847,479841,482066,484526,487222,490158,493334,496754,500419,504333,508497,512914,517587,522516,527493,532518,537590,542710,547879,553098,558366,563684,569053,574473,579945,585469,591045,596675,602358,608095,613887,619734,625637,631535,637489,643499,649565,655688,661870,668109,674408,680765,687183,693831,700713,707834,715199,722813,730681,738806,747196,755854,764785,773996,783491,792024,802142,812580,823344,833601,845186,857142,869267,881094,893558,906198,918588,931583,944761,957742,971290,985030,998964,1013095,1027426,1041960,1056699,1071647,1086806,1102180,1117771,1133583,1149618,1165880,1181979,1198698,1215655,1232851,1250291,1267385,1285313,1303495,1321934,1340454,1359416,1374508,1385656,1392781,1399944,1407143,1414563,1421976,1429427,1436918,1444448,1452017,1459626,1467275,1474964,1482693,1490463,1498274,1506125,1514018,1521952,1529927,1537944,1546004,1554105,1562249,1570436,1578666,1586938,1595254,1603614,1612017,1620465,1628957,1637493,1646074,1654700,1663371,1682915,1723162,1764007,1805515,1847775,1890852,1934812,1979729,2025666,2072699,2120896,2170343,2221122,2273349,2327137,2382594,2439196,2496920,2556852,2620434,2688428,2762265,2840841,2919287,2990965,3051577,3098973,3135842,3168843,3207328,3258144,3323377,3401242,3489977,3586381,3687898,3794043,3905163,4020295,4138408,4258472,4380073,4502363,4623280,4740380,4851923,4957180,5056519,5150763,5241284,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160,6961210,7064242,7164822
95,lva,population,pop,Latvia,High income,europe,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590847,591369,592154,593207,594528,596122,597989,600133,602557,605262,608252,611528,615095,618954,623107,627559,632312,637367,642729,648400,654382,660420,666513,672663,678869,685133,691454,697834,704273,710771,717329,723947,730627,737368,744171,751037,757967,764960,772018,779141,786218,793359,800565,807836,815174,822578,830049,837588,845196,852872,860619,868435,876323,884282,892314,900418,908596,916849,925176,933579,942058,950614,958979,967689,976477,985346,994044,1003072,1012182,1021375,1030420,1039778,1049222,1058543,1068157,1077858,1087464,1097340,1107306,1117363,1127511,1137751,1148084,1158511,1169032,1179649,1190363,1201174,1212083,1223090,1234198,1245232,1256541,1267953,1279468,1291088,1302557,1314386,1326323,1338368,1350447,1362711,1375086,1387574,1400176,1412891,1425722,1438946,1452222,1465621,1479144,1492792,1506565,1520465,1534494,1548652,1562941,1577361,1591915,1606603,1621426,1636386,1651485,1666722,1682100,1697620,1713283,1729091,1745045,1761146,1777395,1793794,1810345,1827048,1843905,1860918,1878088,1895416,1912904,1926568,1933991,1945956,1961655,1980395,2001570,2024675,2049315,2075172,2102004,2129586,2157660,2185878,2213803,2240945,2266941,2291465,2314500,2336322,2357395,2378017,2398376,2418267,2437177,2454393,2469436,2482181,2492978,2502513,2511735,2521385,2531013,2540442,2550927,2564107,2580751,2602151,2626899,2649821,2663924,2664432,2649152,2620246,2582650,2543622,2508473,2478825,2453302,2430547,2408090,2384163,2358677,2332492,2305775,2278855,2251983,2225223,2198518,2171881,2145309,2118848,2092493,2066374,2040784,2016125,1992663,1970530,1949670,1929938,1911108,1892993
96,lbn,population,pop,Lebanon,Upper middle income,asia,332000,332000,332000,332000,332000,332000,332000,332000,332000,332000,332000,332114,332344,332689,333152,333732,334430,335248,336186,337245,338427,339731,341158,342711,344389,346194,348126,350186,352375,354695,357145,359728,362330,364950,367589,370247,372925,375622,378338,381074,383830,386606,389402,392218,395054,397911,400788,403687,406606,409547,412508,415033,417573,420127,422697,425282,427883,430498,433129,435776,438438,441116,443810,446520,449246,451988,454747,457522,460313,463121,465945,468786,471644,474436,477328,480236,483162,486029,488989,491966,494961,497905,500934,503982,506986,510069,513170,516236,519373,522529,525703,528895,532107,535337,538586,541854,545141,548447,551773,555118,558482,561866,565221,568645,572088,575552,579035,582468,585992,589537,593102,596667,600273,606838,616435,629143,642111,655346,669917,684539,699481,714749,730350,746291,762581,779226,796235,813614,831374,849520,868063,887011,906372,926156,946371,967028,988136,1009704,1031743,1054264,1077276,1100790,1124817,1149369,1174457,1200092,1226287,1253054,1280404,1308352,1334621,1358217,1392725,1434849,1481959,1532109,1584030,1637127,1691361,1747162,1804926,1864605,1925276,1984980,2041207,2092348,2136636,2174845,2210959,2250602,2297389,2353555,2416735,2480419,2535497,2575690,2598354,2606221,2604865,2602566,2605293,2615747,2632276,2651292,2667220,2676583,2677280,2672173,2668585,2676605,2703016,2752462,2821862,2900854,2974640,3033394,3070960,3092670,3113951,3156646,3235366,3359859,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357,6093509,6065922,6019795
97,lso,population,pop,Lesotho,Lower middle income,africa,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276460,276659,276959,277361,277865,278472,279182,279997,280918,281945,283079,284320,285671,287130,288700,290381,292174,294080,296099,298233,300482,302748,305031,307332,309650,311985,314338,316708,319097,321503,323928,326371,328832,331312,333811,336328,338864,341420,343995,346589,349191,351813,354454,357116,359797,362498,365220,367962,370725,373508,376312,379138,381984,384852,387742,390653,393586,396541,399518,402518,405540,408584,411575,414665,417778,420915,424003,427186,430394,433625,436815,440095,443399,446669,450023,453401,456754,460183,463638,467119,470626,474160,477720,481306,484920,488561,492229,495924,499648,503399,507179,510938,514775,518639,522533,526456,530339,534321,538333,542374,546426,550528,554662,558826,563022,567249,571508,575824,580167,584542,588950,593392,597867,602376,606919,611496,616108,620754,625435,630152,634904,639693,644517,649378,654275,659209,664181,669189,674236,679321,684444,689606,694807,700046,705326,710645,716004,721404,726845,733945,744319,754853,765581,776548,787806,799440,811543,824200,837519,851591,866462,882170,898647,915822,933655,952206,971512,991491,1012015,1033050,1054453,1076340,1099235,1123855,1150635,1179723,1210799,1243352,1276663,1310118,1343690,1377346,1410439,1442212,1472192,1499861,1525460,1550262,1576022,1603938,1634517,1667121,1700362,1732257,1761359,1787273,1810453,1831298,1850527,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339,2263010,2292682,2322217
98,lbr,population,pop,Liberia,Low income,africa,313543,313543,313543,313543,313543,313543,313543,313543,313543,313543,313543,313666,313913,314285,314783,315409,316162,317045,318058,319202,320479,321890,323435,325116,326933,328889,330984,333219,335595,338114,340777,343585,346416,349271,352148,355050,357975,360925,363899,366897,369920,372968,376041,379140,382264,385414,388589,391791,395019,398274,401556,404975,408424,411902,415409,418947,422514,426112,429740,433400,437090,440812,444566,448351,452169,456019,459901,463817,467766,471749,475766,479817,483902,487912,492066,496256,500481,504640,508936,513269,517639,521952,526396,530877,535313,539870,544466,549027,553701,558414,563168,567962,572797,577673,582591,587550,592551,597595,602682,607812,612986,618204,623396,628702,634054,639450,644893,650280,655815,661397,667026,672673,678399,684173,689996,695868,701791,707763,713531,719410,725338,731315,737340,743416,749541,755717,761944,768222,774552,780934,787368,793856,800397,806992,813641,820345,827105,833920,840791,847719,854704,861746,868846,876005,883223,890501,897838,905236,912695,920215,930025,942999,957595,973699,991230,1010067,1030109,1051250,1073392,1096442,1120313,1144986,1170480,1196890,1224344,1252972,1282814,1313941,1346491,1380637,1416529,1454198,1493711,1535229,1578952,1625013,1672300,1720489,1771256,1826881,1888314,1957456,2031850,2102911,2159089,2192555,2201833,2191023,2165090,2131525,2097232,2060267,2022729,2000248,2012885,2073482,2191179,2358469,2551062,2734518,2884522,2991132,3062863,3116233,3176414,3261230,3375838,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906,4853516,4977720,5103853
99,lby,population,pop,Libya,Upper middle income,africa,531472,531797,532121,532446,532771,533097,533422,533748,534074,534400,534730,535169,535721,536387,537168,538064,539076,540204,541450,542813,544295,545896,547617,549458,551420,553505,555711,558041,560495,563073,565776,568606,571449,574307,577179,580065,582966,585882,588812,591756,594715,597690,600679,603682,606701,609735,612785,615849,618929,622024,625135,629132,633153,637199,641270,645365,649485,653630,657801,661997,666218,670465,674738,679037,683362,687713,692090,696495,700926,705384,709868,714381,718920,723427,728022,732644,737294,741917,746624,751359,756122,760864,765685,770536,775371,780280,785218,790148,795146,800175,805234,810323,815444,820595,825778,830991,836237,841514,846823,852163,857537,862942,868344,873815,879319,884856,890426,895978,901616,907287,912992,918717,924492,930301,936145,942024,947939,953889,958254,963046,967862,972703,977567,982456,987369,992307,997269,1002256,1007268,1012306,1017368,1022456,1027569,1032708,1037872,1043062,1048279,1053521,1058789,1064084,1069406,1074754,1080128,1085530,1090958,1096414,1101897,1107408,1112946,1118511,1124515,1142972,1163891,1187734,1214827,1245358,1279406,1316911,1357732,1401620,1448417,1498071,1550813,1607171,1667825,1733306,1803683,1878877,1958914,2043818,2133526,2228146,2327490,2430755,2536888,2645139,2754696,2865637,2979093,3096729,3219466,3347781,3480454,3614689,3746715,3873781,3994591,4109703,4220418,4328914,4436661,4544293,4651004,4755289,4855003,4948798,5035884,5117269,5195502,5274163,5355751,5440566,5527515,5615952,5704759,5792688,5881435,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616,6470956,6569864,6662173
