,country,indicator_name,geo,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
143,Mayotte,Child mortality (under age five),myt,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.876,247.523,229.458,212.677,197.18,182.964,170.011,158.287,147.731,138.245,129.703,121.958,114.844,108.2,101.898,95.859,90.068,84.58,79.427,74.582,70.025,65.742,61.724,57.955,54.412,51.079,47.945,45.005,42.249,39.66,37.224,34.936,32.79,30.779,28.89,27.114,25.446,23.881,22.416,21.04,19.746,18.531,17.392,16.325,15.323,14.382,13.498,12.669,11.893,11.164,10.479,9.836,9.233,8.667,8.136,7.636,7.162,6.715,6.295,5.903,5.544,5.224,4.947,4.714,4.521,4.364,4.235,4.126,4.027,3.934,3.844
144,Mexico,Child mortality (under age five),mex,u5mr,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,504.87,523.15,542.03,491.53,450.55,460.09,497.15,485.24,514.67,476.06,488.6,463.91,459.2,453.07,484.69,468.23,465.97,455.4,447.64,471.46,464.76,456.77,450.23,443.74,436.06,429.73,423.54,416.09,410.04,404.04,396.88,391.04,379.28,386.69,394.19,368.27,300.79,363.0,351.87,342.07,324.93,316.7,327.57,317.19,293.79,314.54,329.59,301.63,242.29,302.11,267.94,294.52,264.66,260.23,250.32,244.22,230.25,212.46,233.42,223.56,256.1,239.8,224.8,210.8,198.0,186.2,175.7,166.4,158.1,150.8,144.4,138.9,134.1,129.8,126.1,122.6,119.2,115.6,112.0,108.1,104.2,100.5,97.0,93.6,90.5,87.3,84.2,81.0,77.4,73.6,69.9,66.2,62.9,59.9,57.2,54.8,52.4,50.1,47.9,45.7,43.5,41.4,39.3,37.4,35.5,33.7,31.9,30.1,28.4,26.8,25.3,23.9,22.7,21.6,20.6,19.8,19.0,18.4,17.8,17.3,16.8,16.3,15.9,15.4,15.0,14.6,14.214,13.826,13.449,13.089
145,"Micronesia, Fed. Sts.",Child mortality (under age five),fsm,u5mr,450.56,447.594,444.648,441.721,438.814,435.926,433.056,430.206,427.374,424.561,421.767,418.991,416.233,413.493,410.771,408.068,405.382,402.713,400.063,397.429,394.814,392.215,389.633,387.069,384.521,381.99,379.476,376.978,374.496,372.031,369.583,367.15,364.733,362.333,359.948,357.579,355.225,352.887,350.564,348.257,345.964,343.687,341.425,339.178,336.945,334.727,332.524,330.335,328.161,326.001,323.855,321.724,319.606,317.502,315.413,313.336,311.274,309.225,307.19,305.168,303.159,301.164,299.181,297.212,295.256,293.312,291.382,289.464,287.559,285.666,283.786,281.918,280.062,278.219,276.387,274.568,272.761,270.966,269.182,267.41,265.65,263.902,262.165,260.439,258.725,257.022,255.33,253.649,251.98,250.321,248.674,247.037,245.411,243.795,242.191,240.597,239.013,237.44,235.877,234.324,232.782,231.25,229.728,228.216,226.713,225.221,223.739,222.266,220.803,219.35,217.906,216.472,215.047,213.631,212.225,210.828,209.441,208.062,206.693,205.332,203.981,202.638,201.304,199.979,198.663,197.355,196.056,194.766,193.484,192.21,190.945,187.773,184.633,181.528,178.455,175.414,172.406,169.43,166.486,163.573,160.691,157.84,155.019,152.229,149.469,146.739,144.038,141.366,138.723,136.109,133.523,132.018,129.021,126.046,123.096,120.168,117.265,114.386,111.533,108.707,105.908,103.14,100.399,97.684,94.991,92.312,89.636,86.958,84.276,81.587,78.865,76.079,73.237,70.384,67.58,64.932,62.564,60.552,58.934,57.705,56.822,56.2,57.0,57.6,57.9,57.9,57.6,57.0,56.1,55.3,54.6,54.3,54.1,54.1,54.3,54.6,54.8,54.8,54.4,53.6,52.7,51.6,50.6,49.2,47.9,46.6,45.2,43.9,42.5,41.3,40.0,38.8,37.7,36.5,35.4,34.3,33.3,33.275,32.766,32.268,31.784
146,Moldova,Child mortality (under age five),mda,u5mr,396.8,396.063,395.328,394.594,393.862,393.131,392.401,391.673,390.946,390.22,389.496,388.773,388.051,387.331,386.612,385.894,385.178,384.463,383.749,383.037,382.326,381.616,380.908,380.201,379.495,378.791,378.087,377.386,376.685,375.986,375.288,374.591,373.896,373.202,372.509,371.818,371.128,370.439,369.751,369.065,368.38,367.696,367.013,366.332,365.652,364.973,364.296,363.62,362.945,362.271,361.599,360.927,360.257,359.589,358.921,358.255,357.59,356.926,356.264,355.602,354.942,354.283,353.626,352.969,352.314,351.66,351.007,350.356,349.706,349.056,348.409,347.762,347.116,346.472,345.829,345.187,344.546,343.907,343.268,342.631,341.995,341.36,340.727,340.094,339.463,338.833,338.204,337.576,336.949,336.324,335.7,335.076,334.454,333.834,333.214,332.595,331.978,331.362,330.747,330.133,329.52,325.186,320.909,316.689,312.524,308.414,304.358,300.355,296.405,292.506,288.659,284.863,281.117,277.419,273.771,270.17,266.617,263.111,259.65,256.235,252.865,249.54,246.258,243.019,239.823,236.669,233.556,230.485,227.453,224.462,221.51,213.768,206.297,199.087,192.13,185.415,178.935,172.681,166.646,160.822,155.201,149.777,144.543,139.491,134.616,129.911,125.371,120.989,116.761,112.68,108.742,106.778,102.898,99.114,95.427,91.836,88.336,84.927,81.604,78.359,75.185,74.197,73.221,72.259,71.309,70.371,69.446,68.533,67.632,66.743,65.866,64.2,62.5,60.8,59.1,57.5,55.7,54.1,52.6,51.1,49.8,48.4,46.7,44.7,42.5,40.3,38.2,36.2,34.6,33.4,33.0,33.3,34.3,35.7,37.1,38.1,38.5,37.9,36.3,34.0,31.1,28.1,25.3,22.8,20.9,19.6,18.7,18.1,17.6,17.4,17.2,17.0,16.8,16.6,16.4,16.2,15.9,15.312,14.895,14.496,14.116
147,Monaco,Child mortality (under age five),mco,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.3,8.9,8.5,8.1,7.7,7.4,7.1,6.8,6.5,6.2,6.0,5.8,5.5,5.3,5.2,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.4,,,,
148,Mongolia,Child mortality (under age five),mng,u5mr,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.03,420.0,419.93,419.82,419.66,419.43,419.13,418.77,418.34,417.85,417.29,416.67,415.98,415.22,414.4,413.52,412.6,411.65,410.68,409.69,408.71,407.72,406.73,405.75,404.76,403.78,402.79,401.81,400.82,399.83,398.85,397.86,396.88,395.89,394.91,393.92,392.93,391.95,390.96,389.98,388.99,388.01,387.02,386.04,385.05,384.06,383.08,382.09,381.11,368.747,356.785,345.211,334.012,323.177,312.693,302.55,292.735,294.017,295.555,295.038,292.466,287.862,281.313,272.965,263.085,252.126,240.63,229.191,218.432,208.848,200.7,193.997,192.7,191.412,190.133,188.862,187.6,186.346,185.1,183.863,182.634,181.413,180.201,178.996,175.4,169.2,163.3,157.5,152.0,146.6,141.3,135.8,130.3,124.5,118.8,113.5,108.5,103.7,99.3,95.1,90.9,86.7,82.3,77.8,73.1,68.3,63.4,58.6,53.9,49.4,45.2,41.4,37.8,34.5,31.4,28.6,26.1,24.0,22.3,20.9,19.8,18.8,17.9,17.42,16.803,16.215,15.646
149,Montenegro,Child mortality (under age five),mne,u5mr,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,349.79,339.98,330.37,320.94,311.67,302.56,294.63,285.85,277.22,268.74,260.83,253.063,245.419,237.879,230.453,223.132,215.927,208.848,201.867,195.004,189.033,182.337,175.762,169.286,162.901,156.627,150.466,144.417,138.451,132.589,132.643,132.266,130.915,128.592,125.303,121.082,115.988,110.126,103.672,96.846,89.889,83.069,76.614,70.676,65.304,60.436,55.914,51.631,47.603,43.905,40.643,37.894,35.687,33.996,32.767,31.917,31.316,30.839,30.392,29.896,29.307,28.638,27.906,27.1,24.7,22.5,20.6,18.9,17.6,16.6,15.9,15.5,15.3,15.2,15.2,15.1,15.0,14.9,14.6,14.1,13.6,12.9,12.2,11.4,10.6,9.8,8.9,8.2,7.4,6.8,6.1,5.5,5.0,4.6,4.1,3.8,3.817,3.729,3.655,3.585
150,Montserrat,Child mortality (under age five),msr,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Morocco,Child mortality (under age five),mar,u5mr,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.43,403.4,403.34,403.23,403.07,402.85,402.57,402.22,401.81,401.34,400.8,400.2,399.54,398.81,398.02,397.18,396.3,395.38,394.45,393.5,392.55,391.61,390.66,389.71,388.77,387.82,386.87,385.93,384.98,384.03,383.09,382.14,381.19,380.25,379.3,378.35,377.41,375.785,374.164,372.556,370.942,369.331,367.733,366.129,364.528,362.941,361.347,346.473,332.043,318.015,304.397,300.015,295.695,291.436,287.238,283.099,279.019,277.174,273.423,269.55,265.555,261.438,257.2,251.9,247.1,242.0,237.1,232.2,227.4,222.4,217.3,211.9,206.5,201.3,196.2,191.5,187.0,182.9,178.8,174.6,169.9,164.7,159.0,152.7,146.0,139.3,132.5,126.0,119.6,113.5,107.6,102.0,96.8,92.0,87.5,83.4,79.6,75.9,72.5,69.2,66.0,62.9,59.9,57.2,54.5,52.1,49.8,47.7,45.7,43.9,42.1,40.5,38.9,37.5,36.1,34.8,33.5,32.3,31.2,30.1,29.0,28.0,27.1,25.295,24.01,22.785,21.629
152,Mozambique,Child mortality (under age five),moz,u5mr,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.86,424.83,423.79,422.76,421.73,420.7,419.67,418.63,417.6,416.57,415.54,414.51,413.47,412.44,411.41,407.184,402.974,398.77,394.592,390.431,386.285,382.155,378.032,373.935,369.853,365.788,361.738,357.696,353.679,349.677,345.692,341.723,337.761,333.825,329.904,327.218,321.876,316.592,311.367,306.203,301.106,296.087,291.162,286.362,281.721,277.273,273.04,269.023,265.2,266.6,267.9,268.8,269.1,268.9,268.7,267.9,266.8,265.1,263.3,261.7,260.4,259.4,258.6,258.4,258.6,259.0,258.8,258.4,257.4,255.9,254.0,252.4,250.9,249.4,247.7,246.0,243.2,239.6,234.5,227.8,219.2,208.9,197.8,186.5,175.6,165.5,156.4,148.3,140.7,133.5,126.8,118.7,111.9,105.7,100.8,95.3,89.5,84.7,79.9,75.1,71.3,72.6,71.288,69.856,68.278
153,Myanmar,Child mortality (under age five),mmr,u5mr,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.13,433.12,433.08,433.01,432.9,432.73,432.49,432.19,431.82,431.38,430.87,430.29,429.65,428.94,428.16,427.31,426.41,425.46,424.48,423.47,422.45,421.44,420.42,419.41,418.39,417.37,416.36,415.34,414.32,413.31,412.29,411.27,410.26,409.24,408.23,407.21,406.19,405.18,403.82,402.461,401.114,399.759,398.406,397.064,395.714,394.376,393.029,391.685,390.351,423.36,415.661,419.21,419.011,406.431,392.965,381.018,365.942,350.252,341.869,325.902,311.535,298.765,287.567,277.854,269.501,262.27,255.752,249.47,242.947,235.73,227.571,218.5,208.868,199.268,190.382,182.7,179.1,175.8,172.5,169.0,165.4,161.8,158.2,154.5,150.9,147.5,144.1,140.9,137.9,135.0,132.5,129.9,127.5,125.2,122.8,120.4,118.0,115.5,112.8,110.2,107.5,104.9,102.3,99.7,97.2,94.7,92.3,90.0,87.6,85.2,82.8,80.3,77.8,75.2,72.5,89.7,67.1,64.4,61.8,59.3,57.0,54.8,52.7,50.8,51.057,50.322,49.585,48.824
154,Namibia,Child mortality (under age five),nam,u5mr,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.34,412.33,412.29,412.23,412.12,411.96,411.73,411.44,411.09,410.67,410.19,409.64,409.03,408.35,407.61,406.8,405.94,405.04,404.1,403.14,402.18,401.21,400.24,399.27,398.31,397.34,396.37,395.4,394.44,393.47,392.5,391.53,390.57,389.6,388.63,387.66,386.7,385.73,375.838,365.991,356.199,346.442,336.729,327.062,317.448,307.871,298.338,288.851,272.54,256.832,241.763,227.99,214.006,200.572,187.677,175.303,163.436,152.055,149.924,145.717,141.621,137.638,133.767,130.007,126.357,122.815,119.379,116.045,112.808,109.663,106.605,103.631,100.748,97.971,95.3,95.7,96.3,96.8,97.4,98.0,98.5,99.2,99.8,100.2,100.6,100.7,100.3,99.4,97.9,95.8,93.1,90.0,86.7,83.2,79.9,76.7,73.8,71.3,69.2,67.7,67.0,67.0,67.7,68.9,70.4,71.9,73.4,74.6,75.2,75.5,75.3,74.2,71.0,67.0,63.7,60.9,58.6,56.0,54.0,53.4,50.6,48.4,48.0,45.2,44.791,43.377,42.016,40.678
155,Nauru,Child mortality (under age five),nru,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1,68.3,65.5,62.9,60.6,58.4,56.3,54.2,52.2,50.3,48.6,46.9,45.3,43.8,42.4,41.3,40.3,39.6,39.0,38.8,38.8,39.1,39.4,39.7,39.8,39.4,38.9,38.2,37.4,36.5,35.6,34.6,,,,
156,Nepal,Child mortality (under age five),npl,u5mr,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.23,407.2,407.13,407.03,406.87,406.64,406.36,406.01,405.59,405.11,404.57,403.97,403.3,402.57,401.77,400.92,400.03,399.11,398.16,397.2,396.25,395.29,394.34,393.38,392.43,391.47,390.52,389.56,388.6,387.65,386.69,385.74,384.78,383.83,382.87,381.91,380.96,379.613,378.279,376.936,375.605,374.266,372.939,371.604,370.271,368.95,367.621,366.304,362.928,359.582,356.267,352.982,349.727,346.501,343.305,340.138,337.0,336.1,335.3,334.3,333.2,332.4,331.4,330.3,328.6,326.2,323.1,319.1,314.4,309.0,303.1,296.8,290.0,283.5,277.2,271.1,265.0,259.4,254.0,248.7,243.5,238.2,232.8,227.2,221.4,215.3,208.8,202.4,196.0,189.6,183.0,176.3,169.5,162.4,155.3,148.1,140.9,133.9,127.0,120.5,114.2,108.2,102.5,97.0,91.7,86.6,81.7,77.1,72.8,68.7,65.0,61.5,58.2,55.2,52.3,49.6,47.0,44.6,42.3,40.1,38.0,36.1,34.5,32.822,31.38,30.064,28.861
157,Netherlands,Child mortality (under age five),nld,u5mr,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,323.5,317.329,311.277,305.339,299.515,293.802,288.198,282.7,277.308,272.019,266.83,277.76,321.99,274.71,266.83,273.18,373.78,338.26,295.89,274.71,293.67,303.62,315.44,293.12,297.63,343.12,308.95,341.71,329.82,389.56,317.48,332.84,314.73,320.31,315.25,341.46,331.39,310.04,337.31,288.8,327.62,368.62,344.52,312.46,286.9,324.95,300.35,284.67,298.75,282.96,314.23,276.25,268.56,283.34,305.21,270.48,295.82,255.51,267.25,267.12,259.17,263.03,262.46,248.64,230.93,244.29,226.41,214.37,225.98,215.05,221.3,229.32,202.27,196.83,207.52,190.35,185.36,171.63,185.49,154.11,161.34,188.37,137.93,140.39,143.14,135.15,140.74,140.44,179.07,149.77,123.7,115.2,105.38,94.3,82.89,81.42,85.79,83.34,73.72,81.7,70.15,67.14,62.3,56.75,56.24,52.32,51.89,49.13,49.33,44.76,51.9,56.65,53.97,61.9,70.53,103.43,61.87,41.71,35.74,33.27,31.9,30.4,29.0,27.6,26.3,25.1,24.0,23.1,22.2,21.5,20.9,20.3,19.7,19.2,18.8,18.3,17.9,17.4,16.9,16.4,15.8,15.2,14.7,14.1,13.6,13.1,12.6,12.1,11.6,11.2,10.9,10.6,10.4,10.1,9.9,9.7,9.4,9.2,8.9,8.6,8.3,8.0,7.7,7.4,7.1,6.9,6.7,6.6,6.4,6.3,6.2,6.1,5.9,5.7,5.6,5.4,5.2,5.0,4.8,4.6,4.5,4.3,4.2,4.1,4.0,3.9,3.8,3.44,3.254,3.103,2.988
158,Netherlands Antilles,Child mortality (under age five),ant,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,New Caledonia,Child mortality (under age five),ncl,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.233,181.488,174.12,166.996,160.117,153.482,147.091,140.942,135.03,129.353,123.901,118.667,113.639,108.804,104.149,99.666,95.348,91.194,87.199,83.354,79.65,76.081,72.646,69.342,66.164,63.11,60.18,57.377,54.701,52.152,49.729,47.432,45.261,43.21,41.276,39.455,37.745,36.14,34.634,33.218,31.886,30.632,29.453,28.342,27.292,26.298,25.356,24.465,23.622,22.824,22.067,21.351,20.675,20.037,19.431,18.852,18.294,17.754,17.231,16.722,16.229,15.757,15.31,14.891,14.498,14.132,13.789,13.465,13.156,12.859,12.571
160,New Zealand,Child mortality (under age five),nzl,u5mr,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,346.084,306.335,271.151,240.009,212.443,188.043,166.446,147.329,130.408,115.43,173.43,186.57,167.82,149.27,145.6,141.98,145.6,136.56,118.9,149.27,164.08,165.95,197.85,154.8,132.98,120.64,162.22,136.56,134.77,127.65,156.65,112.0,129.42,145.6,138.36,98.52,112.0,112.0,132.98,129.42,127.65,115.43,127.65,108.59,100.18,113.71,141.98,105.2,98.52,118.9,115.43,98.52,93.6,84.24,129.42,93.6,84.24,93.6,75.01,67.3,79.68,67.3,67.3,67.3,62.78,62.78,58.34,67.3,62.78,53.96,56.87,51.09,56.87,56.87,58.34,51.09,46.87,48.26,46.87,48.26,48.26,49.67,52.53,52.53,49.67,65.79,53.96,46.87,51.09,46.87,49.67,49.67,44.11,40.06,37.32,36.04,38.96,35.5,34.8,33.9,33.0,32.1,31.3,30.7,30.1,29.5,28.7,27.9,26.8,25.8,24.7,23.8,23.1,22.5,22.0,21.6,21.2,20.8,20.3,19.9,19.4,18.9,18.3,17.7,17.1,16.6,16.1,15.6,15.2,14.8,14.5,14.1,13.8,13.4,12.9,12.4,11.8,11.2,10.5,10.0,9.5,9.1,8.7,8.4,8.1,7.8,7.6,7.4,7.2,7.0,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6.0,5.9,5.7,5.6,5.4,5.439,5.346,5.24,5.117
161,Ngorno-Karabakh,Child mortality (under age five),ngokar,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
